LuaValue Consructors,,Return type,,,,,,,,,,
,tojstring,String,"""true""|""false""","""closure: x""","""name""",(str) this.v,(str) this.v,"""nil""",this.v,"""table: x""","""thread: x""","""userdata: x"""
,touserdata,Object,null,null,null,null,null,null,null,null,this,this.instance

,,,LuaBoolean,LuaClosure,LuaFunction,LuaDouble,LuaInteger,LuaNil,LuaString,LuaTable,LuaThread,LuaUserdata
Optional Argument Conversion Functions,,,,,,,,,,,,
,optboolean,boolean,this,e,e,e,e,defval,e,e,e,e
,optclosure,LuaClosure,n,this,e,e,e,defval,e,e,e,e
,optdouble,double,e,e,e,this,this,defval,this | e,e,e,e
,optfunction,LuaFunction,n,this,this,e,e,defval,e,e,e,e
,optint,int,e,e,e,(int) this,this,defval,this | e,e,e,e
,optinteger,LuaInteger,e,e,e,(int) this,this,defval,this | e,e,e,e
,optlong,long,e,e,e,(long) this,this,defval,this | e,e,e,e
,optnumber,LuaNumber,e,e,e,this,this,defval,this | e,e,e,e
,optjstring,String,e,e,e,(str) this.v,(str) this.v,defval,this,e,e,e
,optstring,LuaString,e,e,e,(str) this.v,(str) this.v,defval,this,e,e,e
,opttable,LuaTable,e,e,e,e,e,defval,e,this,e,e
,optthread,LuaThread,e,e,e,e,e,defval,e,e,this,n
,optuserdata,Object,e,e,e,e,e,defval,e,e,e,instance
,optuserdata(Class c),Object,e,e,e,e,e,defval,e,e,e,instance | e

Required Argument Conversion Functions,,,,,,,,,,,,
,checkboolean,boolean,this,e,e,e,e,e,e,e,e,e
,checkclosure,LuaClosure,e,this,e,e,e,e,e,e,e,e
,checkdouble,double,e,e,e,this,this,e,e,e,e,e
,checkfunction,LuaFunction,e,this,this,e,e,e,e,e,e,e
,checkint,int,e,e,e,this | e,this,e,e,e,e,e
,checkinteger,LuaInteger,e,e,e,e,this,e,e,e,e,e
,checklong,LuaNumber,e,e,e,this | e,this,e,e,e,e,e
,checknumber,LuaNumber,e,e,e,this,this,e,e,e,e,e
,checkjstring,String,e,e,e,(str) this.v,(str) this.v,e,(str) this.v,e,e,e
,checkstring,LuaString,e,e,e,(str) this.v,(str) this.v,e,this,e,e,e
,checktable,LuaTable,e,e,e,e,e,e,e,this,e,e
,checkthread,LuaThread,e,e,e,e,e,e,e,e,this,e
,checkuserdata,Object,e,e,e,e,e,e,e,e,e,instance
,checkuserdata(Class c),Object,e,e,e,e,e,e,e,e,e,instance | e
,checkvalue,LuaValue,this,this,this,this,this,e,this,this,this,this

,,,LuaBoolean,LuaClosure,LuaFunction,LuaDouble,LuaInteger,LuaNil,LuaString,LuaTable,LuaThread,LuaUserdata
Lua Language Operations,,,,,,,,,,,,
,type,int,TBOOLEAN,TFUNCTION,TFUNCTION,TNUMBER,TNUMBER,TNIL,TSTRING,TTABLE,TTHREAD,TUSERDATA
,typename,string,"""boolean""","""function""","""function""","""number""","""number""","""nil""","""string""","""table""","""thread""","""userdata"""
,len,LuaInteger,e,e,e,e,e,e,#v,#v,e,e
,length,int,e,e,e,e,e,e,#v,#v,e,e
,getmetatable,LuaValue,static,static,static,static,static,static,static,instance,static ,instance
,setmetatable,LuaValue,e,e,e,e,e,e,e,instance,e,instance
,getfenv,LuaTable,e,instance,instance,e,e,e,e,e,instance,e
,setfenv,LuaFunction,e,instance,instance,e,e,e,e,e,instance,e
,call,LuaValue,__call,call,call,__call,__call,__call,__call,__call,__call,__call
,invoke,Varargs,__call,call,call,__call,__call,__call,__call,__call,__call,__call
,get,LuaValue,__index,__index,__index,__index,__index,__index,__index,get,__index,__index
,set,LuaValue,__newindex,__newindex,__newindex,__newindex,__newindex,__newindex,__newindex,set,__newindex,__newindex
